undefined

"label","value"
"53_InteractionMul:BPR-mean:Ps30-mean","1.000"
"8_NRc-mean","0.164"
"26_T2-mean","0.095"
"38_cycles","0.068"
"125_NRf-mean","0.027"
"39_epr-mean","0.022"
"15_Nf-sd","0.021"
"25_Ps30-sd","0.018"
"29_T24-sd","0.017"
"31_T30-sd","0.016"
"52_CVCatNumEnc:PCNfR_dmd-mean:Ps30-mean.sd","0.016"
"40_epr-sd","0.015"
"13_Nc-sd","0.015"
"28_T24-mean","0.015"
"46_setting_1-sd","0.014"
"27_T2-sd","0.014"
"48_setting_2-sd","0.013"
"66_NumToCatTE:Nf-mean:Ps30-mean:farB-mean.0","0.013"
"14_Nf-mean","0.013"
"52_CVCatNumEnc:PCNfR_dmd-mean:T2-mean.sd","0.012"
"58_CVCatNumEnc:Ps30-mean:farB-mean:Nf-mean.max","0.012"
"37_W32-sd","0.009"
"6_BPR-mean","0.009"
"23_P30-sd","0.009"
"7_BPR-sd","0.009"
"42_htBleed-sd","0.009"
"45_setting_1-mean","0.009"
"9_NRc-sd","0.009"
"11_NRf-sd","0.008"
"17_Nf_dmd-sd","0.007"
"20_P2-mean","0.007"
"118_CVTE:farB-mean.0","0.007"
"91_farB-mean","0.007"
"33_T50-sd","0.007"
"21_P2-sd","0.006"
"12_Nc-mean","0.006"
"2_OHE:farB-mean.8","0.006"
"36_W32-mean","0.006"
"35_W31-sd","0.006"
"19_P15-sd","0.005"
"58_CVCatNumEnc:Ps30-mean:farB-mean:T30-mean.max","0.005"
"2_OHE:farB-mean.7","0.005"
"47_setting_2-mean","0.005"
"22_P30-mean","0.005"
"32_T50-mean","0.004"
"34_W31-mean","0.004"
"16_Nf_dmd-mean","0.003"
"18_P15-mean","0.003"
"44_phi-sd","0.003"
"0_OHE:PCNfR_dmd-mean.9","0.003"
"52_CVCatNumEnc:PCNfR_dmd-mean:setting_2-mean.max","0.002"
"0_OHE:PCNfR_dmd-mean.8","0.002"
"24_Ps30-mean","0.002"
"2_OHE:farB-mean.6","0.002"
"2_OHE:farB-mean.5","0.002"
"51_Freq:P2-sd:Ps30-mean:T2-mean:setting_3-mean:setting_3-sd","0.002"
"119_CVTE:farB-sd.0","0.002"
"0_OHE:PCNfR_dmd-mean.10","0.002"
"43_phi-mean","0.002"
"2_OHE:farB-mean.4","0.002"
"2_OHE:farB-mean.11","0.001"
"3_OHE:farB-sd.7","0.001"
"52_CVCatNumEnc:PCNfR_dmd-mean:epr-mean.max","0.001"
"3_OHE:farB-sd.8","0.001"
"0_OHE:PCNfR_dmd-mean.7","0.001"
"0_OHE:PCNfR_dmd-mean.12","0.001"
"3_OHE:farB-sd.11","0.001"
"0_OHE:PCNfR_dmd-mean.11","0.000"
"3_OHE:farB-sd.10","0.000"
"30_T30-mean","0.000"
"2_OHE:farB-mean.3","0.000"
"0_OHE:PCNfR_dmd-mean.5","0.000"
